resume_text,category
"HR Executive with 5 years of experience. Education: B.E. in Information Technology. Skills: employee engagement, payroll, onboarding, labor law, training and development, performance management. Experience: conducted employee onboarding; resolved workplace conflicts; handled payroll processing. Looking for opportunities as a hr executive to apply skills in employee engagement, payroll, onboarding.",HR
"Mechanical Intern with 1 years of experience. Education: Diploma in Engineering. Skills: CNC machining, thermodynamics, quality control, CATIA, finite element analysis, SolidWorks. Experience: designed mechanical components; supervised production lines; performed stress analysis. Looking for opportunities as a mechanical intern to apply skills in CNC machining, thermodynamics, quality control.",Mechanical Engineer
"Sales Intern with 5 years of experience. Education: B.Tech in Mechanical Engineering. Skills: market research, Salesforce, cold calling, target achievement, client relationship management, negotiation. Experience: exceeded quarterly sales targets; generated new leads; negotiated contracts. Looking for opportunities as a sales intern to apply skills in market research, Salesforce, cold calling.",Sales
"HR Executive with 4 years of experience. Education: B.Sc in Computer Science. Skills: HRIS, conflict resolution, onboarding, training and development, performance management, labor law. Experience: conducted employee onboarding; organized training programs; managed end-to-end recruitment. Looking for opportunities as a hr executive to apply skills in HRIS, conflict resolution, onboarding.",HR
"Data Analyst with 1 years of experience. Education: B.Tech in Computer Engineering. Skills: feature engineering, TensorFlow, A/B testing, deep learning, statistics, Python. Experience: cleaned and preprocessed data; ran statistical experiments; trained classification models. Looking for opportunities as a data analyst to apply skills in feature engineering, TensorFlow, A/B testing.",Data Scientist
"Sales Intern with 0 years of experience. Education: B.Tech in Computer Engineering. Skills: target achievement, cold calling, lead generation, Salesforce, market research, CRM. Experience: managed key accounts; generated new leads; exceeded quarterly sales targets. Looking for opportunities as a sales intern to apply skills in target achievement, cold calling, lead generation.",Sales
"Mechanical Design Engineer with 4 years of experience. Education: MBA. Skills: AutoCAD, GD&T, manufacturing processes, quality control, SolidWorks, finite element analysis. Experience: designed mechanical components; reduced material waste; supervised production lines. Looking for opportunities as a mechanical design engineer to apply skills in AutoCAD, GD&T, manufacturing processes.",Mechanical Engineer
"Web Developer Intern with 3 years of experience. Education: Diploma in Engineering. Skills: HTML, React, Express.js, CSS, responsive design, Redux. Experience: fixed cross-browser bugs; integrated third-party APIs; developed REST APIs. Looking for opportunities as a web developer intern to apply skills in HTML, React, Express.js.",Web Developer
"HR Generalist with 2 years of experience. Education: B.Tech in Mechanical Engineering. Skills: conflict resolution, employee engagement, onboarding, labor law, talent acquisition, HRIS. Experience: resolved workplace conflicts; handled payroll processing; conducted employee onboarding. Looking for opportunities as a hr generalist to apply skills in conflict resolution, employee engagement, onboarding.",HR
"Web Developer Intern with 4 years of experience. Education: M.Tech in Data Science. Skills: CSS, MongoDB, responsive design, React, Node.js, HTML. Experience: fixed cross-browser bugs; implemented UI components; built responsive websites. Looking for opportunities as a web developer intern to apply skills in CSS, MongoDB, responsive design.",Web Developer
"Java Developer with 4 years of experience. Education: B.Tech in Computer Engineering. Skills: Kafka, Microservices, Hibernate, REST APIs, Java, MySQL. Experience: built REST APIs using Spring Boot; optimized database queries; implemented microservices. Looking for opportunities as a java developer to apply skills in Kafka, Microservices, Hibernate.",Java Developer
"Social Media Manager with 5 years of experience. Education: M.Tech in Data Science. Skills: SEO, Google Ads, brand strategy, content marketing, market research, Google Analytics. Experience: increased organic traffic; analyzed campaign performance; grew social media following. Looking for opportunities as a social media manager to apply skills in SEO, Google Ads, brand strategy.",Marketing
"Sales Executive with 2 years of experience. Education: B.E. in Information Technology. Skills: Salesforce, market research, target achievement, CRM, lead generation, cold calling. Experience: exceeded quarterly sales targets; built client relationships; negotiated contracts. Looking for opportunities as a sales executive to apply skills in Salesforce, market research, target achievement.",Sales
"Backend Engineer with 3 years of experience. Education: M.Tech in Data Science. Skills: multithreading, Java, Kubernetes, OOP, system design, Docker. Experience: wrote unit tests; optimized algorithms; debugged production issues. Looking for opportunities as a backend engineer to apply skills in multithreading, Java, Kubernetes.",Software Engineer
"Frontend Developer with 5 years of experience. Education: MBA. Skills: Git, React, Express.js, responsive design, TypeScript, MongoDB. Experience: built responsive websites; fixed cross-browser bugs; optimized page load speed. Looking for opportunities as a frontend developer to apply skills in Git, React, Express.js.",Web Developer
"Talent Acquisition Specialist with 3 years of experience. Education: M.Tech in Data Science. Skills: recruitment, conflict resolution, onboarding, performance management, talent acquisition, employee engagement. Experience: conducted employee onboarding; resolved workplace conflicts; managed end-to-end recruitment. Looking for opportunities as a talent acquisition specialist to apply skills in recruitment, conflict resolution, onboarding.",HR
"Sales Intern with 1 years of experience. Education: B.Tech in Mechanical Engineering. Skills: CRM, cold calling, negotiation, Salesforce, target achievement, lead generation. Experience: negotiated contracts; generated new leads; built client relationships. Looking for opportunities as a sales intern to apply skills in CRM, cold calling, negotiation.",Sales
"HR Executive with 1 years of experience. Education: B.Sc in Computer Science. Skills: conflict resolution, recruitment, performance management, talent acquisition, payroll, HRIS. Experience: handled payroll processing; conducted employee onboarding; organized training programs. Looking for opportunities as a hr executive to apply skills in conflict resolution, recruitment, performance management.",HR
"Manufacturing Engineer with 2 years of experience. Education: Diploma in Engineering. Skills: GD&T, CNC machining, quality control, SolidWorks, thermodynamics, AutoCAD. Experience: supervised production lines; designed mechanical components; performed stress analysis. Looking for opportunities as a manufacturing engineer to apply skills in GD&T, CNC machining, quality control.",Mechanical Engineer
"Digital Marketing Executive with 0 years of experience. Education: MBA. Skills: email campaigns, social media marketing, market research, Google Analytics, copywriting, Google Ads. Experience: grew social media following; analyzed campaign performance; ran paid ad campaigns. Looking for opportunities as a digital marketing executive to apply skills in email campaigns, social media marketing, market research.",Marketing
"Web Developer Intern with 5 years of experience. Education: B.E. in Information Technology. Skills: responsive design, Redux, REST APIs, Express.js, Git, React. Experience: fixed cross-browser bugs; developed REST APIs; implemented UI components. Looking for opportunities as a web developer intern to apply skills in responsive design, Redux, REST APIs.",Web Developer
"Talent Acquisition Specialist with 3 years of experience. Education: B.Sc in Computer Science. Skills: onboarding, talent acquisition, employee engagement, recruitment, training and development, payroll. Experience: organized training programs; conducted employee onboarding; resolved workplace conflicts. Looking for opportunities as a talent acquisition specialist to apply skills in onboarding, talent acquisition, employee engagement.",HR
"DevOps Intern with 0 years of experience. Education: B.E. in Information Technology. Skills: Terraform, Ansible, monitoring, shell scripting, Linux, Kubernetes. Experience: set up monitoring and alerting; built CI/CD pipelines; reduced deployment time. Looking for opportunities as a devops intern to apply skills in Terraform, Ansible, monitoring.",DevOps Engineer
"Mechanical Intern with 3 years of experience. Education: B.Tech in Mechanical Engineering. Skills: CATIA, finite element analysis, thermodynamics, quality control, GD&T, manufacturing processes. Experience: supervised production lines; designed mechanical components; reduced material waste. Looking for opportunities as a mechanical intern to apply skills in CATIA, finite element analysis, thermodynamics.",Mechanical Engineer
"Cloud Engineer with 3 years of experience. Education: MBA. Skills: AWS, Linux, Terraform, monitoring, Docker, shell scripting. Experience: set up monitoring and alerting; managed Kubernetes clusters; automated infrastructure with Terraform. Looking for opportunities as a cloud engineer to apply skills in AWS, Linux, Terraform.",DevOps Engineer
"Business Development Associate with 3 years of experience. Education: B.Sc in Computer Science. Skills: Salesforce, negotiation, target achievement, cold calling, lead generation, CRM. Experience: built client relationships; negotiated contracts; managed key accounts. Looking for opportunities as a business development associate to apply skills in Salesforce, negotiation, target achievement.",Sales
"Full Stack Developer with 4 years of experience. Education: B.Tech in Mechanical Engineering. Skills: JavaScript, responsive design, Node.js, HTML, CSS, Redux. Experience: implemented UI components; optimized page load speed; integrated third-party APIs. Looking for opportunities as a full stack developer to apply skills in JavaScript, responsive design, Node.js.",Web Developer
"Product Analyst with 0 years of experience. Education: MBA. Skills: JIRA, Power BI, SQL, stakeholder management, business process modeling, requirements gathering. Experience: coordinated with cross-functional teams; presented insights to stakeholders; gathered business requirements. Looking for opportunities as a product analyst to apply skills in JIRA, Power BI, SQL.",Business Analyst
"Sales Intern with 4 years of experience. Education: B.Tech in Mechanical Engineering. Skills: client relationship management, target achievement, negotiation, CRM, lead generation, Salesforce. Experience: built client relationships; negotiated contracts; managed key accounts. Looking for opportunities as a sales intern to apply skills in client relationship management, target achievement, negotiation.",Sales
"Business Development Associate with 3 years of experience. Education: Diploma in Engineering. Skills: lead generation, target achievement, Salesforce, market research, negotiation, client relationship management. Experience: built client relationships; negotiated contracts; exceeded quarterly sales targets. Looking for opportunities as a business development associate to apply skills in lead generation, target achievement, Salesforce.",Sales
"SDE Intern with 5 years of experience. Education: M.Tech in Data Science. Skills: Python, C++, OOP, Algorithms, Git, multithreading. Experience: built microservices; reviewed pull requests; designed scalable systems. Looking for opportunities as a sde intern to apply skills in Python, C++, OOP.",Software Engineer
"Cloud Engineer with 4 years of experience. Education: B.Tech in Mechanical Engineering. Skills: monitoring, AWS, Docker, Kubernetes, Terraform, Linux. Experience: built CI/CD pipelines; automated infrastructure with Terraform; managed Kubernetes clusters. Looking for opportunities as a cloud engineer to apply skills in monitoring, AWS, Docker.",DevOps Engineer
"Frontend Developer with 4 years of experience. Education: Diploma in Engineering. Skills: REST APIs, Express.js, Node.js, responsive design, Git, CSS. Experience: built responsive websites; developed REST APIs; optimized page load speed. Looking for opportunities as a frontend developer to apply skills in REST APIs, Express.js, Node.js.",Web Developer
"Full Stack Developer with 3 years of experience. Education: B.E. in Information Technology. Skills: Express.js, TypeScript, MongoDB, Node.js, REST APIs, responsive design. Experience: developed REST APIs; built responsive websites; optimized page load speed. Looking for opportunities as a full stack developer to apply skills in Express.js, TypeScript, MongoDB.",Web Developer
"HR Executive with 5 years of experience. Education: MBA. Skills: training and development, talent acquisition, performance management, recruitment, employee engagement, onboarding. Experience: handled payroll processing; managed end-to-end recruitment; organized training programs. Looking for opportunities as a hr executive to apply skills in training and development, talent acquisition, performance management.",HR
"SDE Intern with 3 years of experience. Education: M.Tech in Data Science. Skills: OOP, multithreading, Python, system design, Data Structures, Algorithms. Experience: optimized algorithms; wrote unit tests; designed scalable systems. Looking for opportunities as a sde intern to apply skills in OOP, multithreading, Python.",Software Engineer
"Talent Acquisition Specialist with 1 years of experience. Education: M.Tech in Data Science. Skills: payroll, labor law, HRIS, performance management, conflict resolution, training and development. Experience: conducted employee onboarding; resolved workplace conflicts; organized training programs. Looking for opportunities as a talent acquisition specialist to apply skills in payroll, labor law, HRIS.",HR
"Digital Marketing Executive with 3 years of experience. Education: Diploma in Engineering. Skills: Google Ads, brand strategy, market research, copywriting, SEO, Google Analytics. Experience: ran paid ad campaigns; analyzed campaign performance; wrote marketing copy. Looking for opportunities as a digital marketing executive to apply skills in Google Ads, brand strategy, market research.",Marketing
"Cloud Engineer with 1 years of experience. Education: B.Tech in Mechanical Engineering. Skills: Kubernetes, monitoring, AWS, Jenkins, Terraform, Ansible. Experience: reduced deployment time; set up monitoring and alerting; managed Kubernetes clusters. Looking for opportunities as a cloud engineer to apply skills in Kubernetes, monitoring, AWS.",DevOps Engineer
"Data Scientist with 1 years of experience. Education: M.Tech in Data Science. Skills: A/B testing, Power BI, SQL, NLP, scikit-learn, pandas. Experience: built predictive models; analyzed large datasets; trained classification models. Looking for opportunities as a data scientist to apply skills in A/B testing, Power BI, SQL.",Data Scientist
"Java Developer with 3 years of experience. Education: B.Sc in Computer Science. Skills: Microservices, Kafka, MySQL, REST APIs, Hibernate, Maven. Experience: wrote JUnit test cases; resolved production bugs; built REST APIs using Spring Boot. Looking for opportunities as a java developer to apply skills in Microservices, Kafka, MySQL.",Java Developer
"HR Executive with 1 years of experience. Education: M.Tech in Data Science. Skills: HRIS, recruitment, employee engagement, labor law, conflict resolution, performance management. Experience: handled payroll processing; resolved workplace conflicts; managed end-to-end recruitment. Looking for opportunities as a hr executive to apply skills in HRIS, recruitment, employee engagement.",HR
"Business Analyst with 4 years of experience. Education: M.Tech in Data Science. Skills: Excel, SQL, Power BI, JIRA, stakeholder management, requirements gathering. Experience: coordinated with cross-functional teams; created process flow diagrams; gathered business requirements. Looking for opportunities as a business analyst to apply skills in Excel, SQL, Power BI.",Business Analyst
"Backend Engineer with 0 years of experience. Education: B.E. in Information Technology. Skills: Docker, Kubernetes, unit testing, Java, multithreading, system design. Experience: debugged production issues; wrote unit tests; optimized algorithms. Looking for opportunities as a backend engineer to apply skills in Docker, Kubernetes, unit testing.",Software Engineer
"Frontend Developer with 2 years of experience. Education: B.Sc in Computer Science. Skills: responsive design, TypeScript, MongoDB, REST APIs, HTML, React. Experience: optimized page load speed; developed REST APIs; implemented UI components. Looking for opportunities as a frontend developer to apply skills in responsive design, TypeScript, MongoDB.",Web Developer
"Business Analyst Intern with 3 years of experience. Education: B.Sc in Computer Science. Skills: JIRA, requirements gathering, process improvement, business process modeling, Power BI, Excel. Experience: gathered business requirements; presented insights to stakeholders; analyzed KPIs. Looking for opportunities as a business analyst intern to apply skills in JIRA, requirements gathering, process improvement.",Business Analyst
"Social Media Manager with 2 years of experience. Education: Diploma in Engineering. Skills: Google Analytics, copywriting, content marketing, Google Ads, market research, brand strategy. Experience: wrote marketing copy; analyzed campaign performance; ran paid ad campaigns. Looking for opportunities as a social media manager to apply skills in Google Analytics, copywriting, content marketing.",Marketing
"Mechanical Intern with 0 years of experience. Education: Diploma in Engineering. Skills: finite element analysis, thermodynamics, CNC machining, quality control, SolidWorks, manufacturing processes. Experience: reduced material waste; created CAD models; designed mechanical components. Looking for opportunities as a mechanical intern to apply skills in finite element analysis, thermodynamics, CNC machining.",Mechanical Engineer
"Cloud Engineer with 3 years of experience. Education: B.Tech in Mechanical Engineering. Skills: Linux, Ansible, Jenkins, CI/CD, AWS, Docker. Experience: automated infrastructure with Terraform; reduced deployment time; set up monitoring and alerting. Looking for opportunities as a cloud engineer to apply skills in Linux, Ansible, Jenkins.",DevOps Engineer
"Backend Engineer with 3 years of experience. Education: M.Tech in Data Science. Skills: unit testing, Java, Python, OOP, multithreading, Kubernetes. Experience: wrote unit tests; optimized algorithms; reviewed pull requests. Looking for opportunities as a backend engineer to apply skills in unit testing, Java, Python.",Software Engineer
"Manufacturing Engineer with 5 years of experience. Education: Diploma in Engineering. Skills: manufacturing processes, quality control, AutoCAD, finite element analysis, CNC machining, SolidWorks. Experience: created CAD models; reduced material waste; designed mechanical components. Looking for opportunities as a manufacturing engineer to apply skills in manufacturing processes, quality control, AutoCAD.",Mechanical Engineer
"Digital Marketing Executive with 0 years of experience. Education: B.E. in Information Technology. Skills: brand strategy, copywriting, social media marketing, Google Analytics, content marketing, SEO. Experience: grew social media following; analyzed campaign performance; increased organic traffic. Looking for opportunities as a digital marketing executive to apply skills in brand strategy, copywriting, social media marketing.",Marketing
"Business Development Associate with 5 years of experience. Education: B.Tech in Computer Engineering. Skills: lead generation, client relationship management, target achievement, CRM, Salesforce, market research. Experience: negotiated contracts; managed key accounts; generated new leads. Looking for opportunities as a business development associate to apply skills in lead generation, client relationship management, target achievement.",Sales
"Data Scientist with 5 years of experience. Education: B.Tech in Mechanical Engineering. Skills: NumPy, deep learning, data visualization, statistics, NLP, TensorFlow. Experience: ran statistical experiments; cleaned and preprocessed data; designed dashboards. Looking for opportunities as a data scientist to apply skills in NumPy, deep learning, data visualization.",Data Scientist
"Java Developer with 3 years of experience. Education: M.Tech in Data Science. Skills: Spring Boot, multithreading, MySQL, Maven, Microservices, REST APIs. Experience: resolved production bugs; optimized database queries; implemented microservices. Looking for opportunities as a java developer to apply skills in Spring Boot, multithreading, MySQL.",Java Developer
"ML Intern with 0 years of experience. Education: B.Tech in Computer Engineering. Skills: deep learning, NLP, TensorFlow, statistics, data visualization, Tableau. Experience: built predictive models; cleaned and preprocessed data; designed dashboards. Looking for opportunities as a ml intern to apply skills in deep learning, NLP, TensorFlow.",Data Scientist
"Web Developer Intern with 5 years of experience. Education: B.E. in Information Technology. Skills: React, Node.js, REST APIs, responsive design, CSS, Express.js. Experience: developed REST APIs; fixed cross-browser bugs; implemented UI components. Looking for opportunities as a web developer intern to apply skills in React, Node.js, REST APIs.",Web Developer
"DevOps Engineer with 0 years of experience. Education: B.Tech in Mechanical Engineering. Skills: monitoring, Docker, shell scripting, AWS, Terraform, Jenkins. Experience: reduced deployment time; built CI/CD pipelines; automated infrastructure with Terraform. Looking for opportunities as a devops engineer to apply skills in monitoring, Docker, shell scripting.",DevOps Engineer
"Talent Acquisition Specialist with 2 years of experience. Education: B.Tech in Computer Engineering. Skills: recruitment, labor law, payroll, employee engagement, HRIS, talent acquisition. Experience: resolved workplace conflicts; conducted employee onboarding; managed end-to-end recruitment. Looking for opportunities as a talent acquisition specialist to apply skills in recruitment, labor law, payroll.",HR
"Business Analyst Intern with 5 years of experience. Education: B.E. in Information Technology. Skills: business process modeling, stakeholder management, process improvement, requirements gathering, SWOT analysis, SQL. Experience: gathered business requirements; created process flow diagrams; coordinated with cross-functional teams. Looking for opportunities as a business analyst intern to apply skills in business process modeling, stakeholder management, process improvement.",Business Analyst
"Data Analyst with 4 years of experience. Education: Diploma in Engineering. Skills: deep learning, pandas, Python, feature engineering, TensorFlow, scikit-learn. Experience: analyzed large datasets; cleaned and preprocessed data; built predictive models. Looking for opportunities as a data analyst to apply skills in deep learning, pandas, Python.",Data Scientist
"DevOps Intern with 5 years of experience. Education: B.Sc in Computer Science. Skills: Docker, shell scripting, AWS, monitoring, Ansible, Terraform. Experience: managed Kubernetes clusters; reduced deployment time; automated infrastructure with Terraform. Looking for opportunities as a devops intern to apply skills in Docker, shell scripting, AWS.",DevOps Engineer
"Sales Executive with 3 years of experience. Education: B.Sc in Computer Science. Skills: Salesforce, lead generation, cold calling, target achievement, client relationship management, market research. Experience: generated new leads; exceeded quarterly sales targets; negotiated contracts. Looking for opportunities as a sales executive to apply skills in Salesforce, lead generation, cold calling.",Sales
"HR Executive with 4 years of experience. Education: MBA. Skills: onboarding, conflict resolution, performance management, recruitment, employee engagement, HRIS. Experience: organized training programs; handled payroll processing; managed end-to-end recruitment. Looking for opportunities as a hr executive to apply skills in onboarding, conflict resolution, performance management.",HR
"Frontend Developer with 5 years of experience. Education: MBA. Skills: TypeScript, Node.js, Git, Redux, MongoDB, JavaScript. Experience: implemented UI components; optimized page load speed; developed REST APIs. Looking for opportunities as a frontend developer to apply skills in TypeScript, Node.js, Git.",Web Developer
"Product Analyst with 4 years of experience. Education: B.E. in Information Technology. Skills: process improvement, stakeholder management, Power BI, SWOT analysis, requirements gathering, SQL. Experience: presented insights to stakeholders; gathered business requirements; coordinated with cross-functional teams. Looking for opportunities as a product analyst to apply skills in process improvement, stakeholder management, Power BI.",Business Analyst
"SDE Intern with 1 years of experience. Education: M.Tech in Data Science. Skills: Python, multithreading, Algorithms, Kubernetes, C++, Git. Experience: designed scalable systems; wrote unit tests; built microservices. Looking for opportunities as a sde intern to apply skills in Python, multithreading, Algorithms.",Software Engineer
"Data Scientist with 5 years of experience. Education: Diploma in Engineering. Skills: pandas, SQL, Python, A/B testing, statistics, scikit-learn. Experience: ran statistical experiments; analyzed large datasets; built predictive models. Looking for opportunities as a data scientist to apply skills in pandas, SQL, Python.",Data Scientist
"Business Analyst with 2 years of experience. Education: B.Sc in Computer Science. Skills: stakeholder management, SQL, Excel, Power BI, business process modeling, SWOT analysis. Experience: coordinated with cross-functional teams; analyzed KPIs; presented insights to stakeholders. Looking for opportunities as a business analyst to apply skills in stakeholder management, SQL, Excel.",Business Analyst
"Manufacturing Engineer with 3 years of experience. Education: Diploma in Engineering. Skills: CATIA, AutoCAD, CNC machining, manufacturing processes, SolidWorks, GD&T. Experience: designed mechanical components; reduced material waste; performed stress analysis. Looking for opportunities as a manufacturing engineer to apply skills in CATIA, AutoCAD, CNC machining.",Mechanical Engineer
"HR Executive with 4 years of experience. Education: B.Sc in Computer Science. Skills: talent acquisition, recruitment, conflict resolution, labor law, training and development, payroll. Experience: handled payroll processing; organized training programs; resolved workplace conflicts. Looking for opportunities as a hr executive to apply skills in talent acquisition, recruitment, conflict resolution.",HR
"Mechanical Design Engineer with 5 years of experience. Education: MBA. Skills: AutoCAD, manufacturing processes, CNC machining, thermodynamics, SolidWorks, quality control. Experience: designed mechanical components; created CAD models; performed stress analysis. Looking for opportunities as a mechanical design engineer to apply skills in AutoCAD, manufacturing processes, CNC machining.",Mechanical Engineer
"Full Stack Developer with 5 years of experience. Education: B.Tech in Mechanical Engineering. Skills: MongoDB, responsive design, HTML, TypeScript, Express.js, Redux. Experience: optimized page load speed; fixed cross-browser bugs; implemented UI components. Looking for opportunities as a full stack developer to apply skills in MongoDB, responsive design, HTML.",Web Developer
"Sales Executive with 2 years of experience. Education: B.E. in Information Technology. Skills: lead generation, negotiation, target achievement, market research, cold calling, client relationship management. Experience: managed key accounts; built client relationships; negotiated contracts. Looking for opportunities as a sales executive to apply skills in lead generation, negotiation, target achievement.",Sales
"Product Analyst with 5 years of experience. Education: B.Sc in Computer Science. Skills: Power BI, stakeholder management, SWOT analysis, JIRA, Excel, requirements gathering. Experience: created process flow diagrams; gathered business requirements; coordinated with cross-functional teams. Looking for opportunities as a product analyst to apply skills in Power BI, stakeholder management, SWOT analysis.",Business Analyst
"Backend Developer with 1 years of experience. Education: B.Sc in Computer Science. Skills: JUnit, multithreading, Microservices, Java, MySQL, Kafka. Experience: wrote JUnit test cases; optimized database queries; resolved production bugs. Looking for opportunities as a backend developer to apply skills in JUnit, multithreading, Microservices.",Java Developer
"HR Generalist with 1 years of experience. Education: B.Sc in Computer Science. Skills: employee engagement, labor law, onboarding, recruitment, performance management, conflict resolution. Experience: organized training programs; managed end-to-end recruitment; handled payroll processing. Looking for opportunities as a hr generalist to apply skills in employee engagement, labor law, onboarding.",HR
"Digital Marketing Executive with 3 years of experience. Education: B.Tech in Computer Engineering. Skills: Google Analytics, brand strategy, social media marketing, email campaigns, SEO, copywriting. Experience: wrote marketing copy; grew social media following; ran paid ad campaigns. Looking for opportunities as a digital marketing executive to apply skills in Google Analytics, brand strategy, social media marketing.",Marketing
"Sales Executive with 1 years of experience. Education: B.E. in Information Technology. Skills: CRM, client relationship management, lead generation, market research, cold calling, target achievement. Experience: generated new leads; exceeded quarterly sales targets; managed key accounts. Looking for opportunities as a sales executive to apply skills in CRM, client relationship management, lead generation.",Sales
"Product Analyst with 3 years of experience. Education: MBA. Skills: JIRA, stakeholder management, SWOT analysis, SQL, requirements gathering, process improvement. Experience: created process flow diagrams; coordinated with cross-functional teams; analyzed KPIs. Looking for opportunities as a product analyst to apply skills in JIRA, stakeholder management, SWOT analysis.",Business Analyst
"Marketing Intern with 3 years of experience. Education: B.Sc in Computer Science. Skills: Google Analytics, market research, social media marketing, copywriting, Google Ads, SEO. Experience: analyzed campaign performance; increased organic traffic; ran paid ad campaigns. Looking for opportunities as a marketing intern to apply skills in Google Analytics, market research, social media marketing.",Marketing
"SDE Intern with 3 years of experience. Education: B.Tech in Computer Engineering. Skills: Python, C++, Java, Kubernetes, Algorithms, OOP. Experience: built microservices; optimized algorithms; debugged production issues. Looking for opportunities as a sde intern to apply skills in Python, C++, Java.",Software Engineer
"Backend Engineer with 0 years of experience. Education: B.E. in Information Technology. Skills: unit testing, Algorithms, Python, C++, Java, Kubernetes. Experience: reviewed pull requests; designed scalable systems; debugged production issues. Looking for opportunities as a backend engineer to apply skills in unit testing, Algorithms, Python.",Software Engineer
"Java Developer with 5 years of experience. Education: M.Tech in Data Science. Skills: multithreading, REST APIs, Kafka, MySQL, Spring Boot, Maven. Experience: implemented microservices; wrote JUnit test cases; resolved production bugs. Looking for opportunities as a java developer to apply skills in multithreading, REST APIs, Kafka.",Java Developer
"Business Analyst with 2 years of experience. Education: B.Sc in Computer Science. Skills: process improvement, Power BI, SWOT analysis, JIRA, business process modeling, stakeholder management. Experience: coordinated with cross-functional teams; presented insights to stakeholders; created process flow diagrams. Looking for opportunities as a business analyst to apply skills in process improvement, Power BI, SWOT analysis.",Business Analyst
